Sample_Index,col0,col1
1091,-18417,19408
1092,-17384,-22564
1093,30729,-13341
1094,4103,30677
1095,-17392,980
1096,-2031,-30748
1097,25605,7137
1098,-10230,35792
1099,-26601,-17447
1100,31752,-18461
1101,16384,25559
1102,-3070,-31769
1103,30707,998
1104,-5130,23515
1105,-31738,-10271
1106,14335,-23571
1107,27634,22499
1108,-20483,20442
1109,-15355,-30742
1110,26616,-11280
1111,6134,28643
1112,-32761,-28
1113,3078,-26638
1114,-12276,30692
1115,-19434,-11286
1116,29704,-24585
1117,14337,23532
1118,-33774,9192
1119,-3052,-24587
1120,26631,3060
1121,1030,31717
1122,-22511,-9238
1123,19464,-29703
1124,23549,21487
1125,-24566,-33792
1126,27645,-8188
1127,16374,34803
1128,-33785,3058
1129,11266,-24577
1130,28660,7164
1131,-12293,25584
1132,-30709,-14344
1133,18434,-18430
1134,19449,33778
1135,-31735,17386
1136,8,-28679
1137,-3062,23534
1138,-41953,-6158
1139,12313,-30718
1140,23566,25590
1141,-16362,24555
1142,-15330,-22537
1143,34829,-17408
1144,9225,28658
1145,-21484,-13
1146,-3050,-29694
1147,26633,13308
1148,-26602,-18426
1149,20492,-20464
1150,19459,31745
1151,-28655,11260
1152,-12265,-30708
1153,33799,-5105
1154,-6134,24579
1155,-39906,-12279
1156,6171,-24555
1157,32779,20491
1158,-22506,22528
1159,-11236,-21493
1160,7193,31740
1161,-33750,14326
1162,4136,-34808
1163,36886,9220
1164,-12260,28662
1165,-24536,-19456
1166,21534,-29681
1167,16406,20485
1168,-36824,22522
1169,-10195,-30710
1170,33821,4104
1171,-30676,-8180
1172,10279,-35810
1173,31768,17430
1174,-26587,21516
1175,-24527,-28646
1176,24613,-10209
1177,9249,37901
1178,-31695,11272
1179,8237,-39908
1180,35868,12310
1181,-14301,23563
1182,-28623,-20459
1183,12331,22538
1184,-24521,22527
1185,-9156,-29682
1186,35883,-8174
1187,42,28676
1188,-35780,-9207
1189,10295,-28649
1190,26666,18446
1191,-20428,30719
1192,-18371,-22517
1193,37931,-12271
1194,-32709,2064
1195,-11199,-32736
1196,27700,10267
1197,-17347,25615
1198,-26550,-16361
1199,19521,-16353
1200,20535,19478
1201,-23485,11281
1202,-4027,-33758
1203,37939,-2013
1204,-7113,37905
1205,-28603,-2030
1206,35892,18441
1207,-18371,30714
1208,-14268,-24569
1209,35891,-16369
1210,9263,35838
1211,-31681,6140
1212,2110,-28661
1213,24626,11270
1214,-11208,39923
1215,-25531,-15365
1216,31798,-23545
1217,-24510,7172
1218,-13239,-21489
1219,26684,-4079
1220,8248,33793
1221,-30649,-4093
1222,9283,-22514
1223,34866,16390
1224,-21443,18429
1225,-22456,-30707
1226,25660,-13292
1227,20530,40960
1228,-33725,11259
1229,28725,-7169
1230,-6088,29681
1231,-25531,-16390
1232,17469,-26616
1233,13367,21502
1234,-18368,23539
1235,-8124,-30717
1236,32820,-7161
1237,7217,30712
1238,-33726,-10242
1239,4160,-28659
1240,-23476,26624
1241,-27558,-23540
1242,23631,-5105
1243,14408,28673
1244,-28586,2048
1245,-8102,-34799
1246,29772,3088
1247,-12206,26627
1248,-28576,-14326
1249,23637,-22507
1250,27720,18444
1251,-25515,21506
1252,24649,-14327
1253,8261,28667
1254,-35753,-3075
