Sample_Index,col0,col1
1017,-8014,-25091
1018,26640,-13678
1019,15339,24459
1020,-21186,15147
1021,-18728,-21864
1022,16728,-20604
1023,29368,9223
1024,1545,22966
1025,-23583,4731
1026,-10105,-24203
1027,18687,-20404
1028,22473,13905
1029,-3780,25009
1030,-24482,-1465
1031,-5697,-24184
1032,24706,-12337
1033,18213,16520
1034,-9698,21047
1035,-20904,-2918
1036,-14043,-21960
1037,2831,-22229
1038,21456,-11541
1039,26279,5996
1040,14066,22995
1041,-5452,26285
1042,-20004,10416
1043,-20190,-12377
1044,-5754,-24079
1045,15326,-20612
1046,27569,-5845
1047,23217,12053
1048,12664,21237
1049,905,22969
1050,-11756,20917
1051,-18158,10667
1052,-21664,-1640
1053,-23882,-10816
1054,-15663,-21702
1055,-714,-27644
1056,14809,-20720
1057,26539,-6018
1058,23111,10300
1059,11279,22061
1060,4327,25637
1061,-3699,24940
1062,-13691,22869
1063,-19036,19848
1064,-21501,16715
1065,-22642,14966
1066,-22731,15769
1067,-22060,14860
1068,-21960,9868
1069,-25118,4431
1070,-25342,-2837
1071,-19769,-11362
1072,-17983,-14018
1073,-21335,-12369
1074,-23215,-12286
1075,-21995,-14403
1076,-20129,-18607
1077,-20982,-21056
1078,-21857,-17476
1079,-20631,-12227
1080,-21917,-11211
1081,-22657,-14783
1082,-17847,-19456
1083,-9939,-22380
1084,335,-24819
1085,7523,-26546
1086,7292,-25240
1087,10540,-22908
1088,19407,-20547
1089,22815,-15054
1090,23836,-7316
1091,28403,-2465
1092,28997,-421
1093,24707,5425
1094,22348,15831
1095,14376,23743
1096,-6162,23737
1097,-22356,12307
1098,-21967,-3864
1099,-17573,-11149
1100,-15694,-16384
1101,-8688,-26014
1102,4547,-23028
1103,17696,-12509
1104,22620,-14676
1105,20189,-15690
1106,22171,-5561
1107,26387,1196
1108,22952,8105
1109,16633,20331
1110,8609,25477
1111,-3629,25085
1112,-9469,27150
1113,-7982,27298
1114,-10428,24794
1115,-15454,21922
1116,-17966,18105
1117,-16801,18346
1118,-10978,24360
1119,-8641,27511
1120,-14042,23884
1121,-16957,19567
1122,-16230,17651
1123,-19881,13385
1124,-25589,5947
1125,-27444,3099
1126,-24951,7038
1127,-22457,9924
1128,-23986,9894
1129,-23169,13747
1130,-14978,20793
1131,-6476,24256
1132,800,25139
1133,10072,25208
1134,17600,20389
1135,23009,12691
1136,27263,6665
1137,26818,-1223
1138,22762,-12038
1139,15219,-20750
1140,888,-24457
1141,-15430,-19628
1142,-24637,-4685
1143,-20359,12255
1144,-3215,21945
1145,13978,22836
1146,21329,16118
1147,24158,3695
1148,26479,-8206
1149,23306,-15109
1150,15312,-20159
1151,7892,-24598
1152,-908,-24938
1153,-11413,-21817
1154,-19144,-16700
1155,-26073,-8720
1156,-29377,695
1157,-23034,11365
1158,-15890,23040
1159,-10499,29626
1160,-856,28134
1161,3432,24559
1162,1865,24199
1163,4295,26341
1164,3606,28222
1165,3305,26915
1166,12606,22241
1167,17151,19895
1168,16642,21324
1169,22835,19047
1170,25638,11894
1171,24924,5586
1172,29939,1496
1173,31627,658
1174,27570,4232
1175,22768,10892
1176,16638,18562
1177,14978,21377
1178,15533,19480
1179,11585,20925
1180,9216,22745
1181,3892,21572
1182,-7739,24557
1183,-9745,28066
1184,-6025,25246
1185,-10501,22486
1186,-14813,20972
1187,-17910,13294
1188,-23449,-1943
1189,-19807,-18481
1190,-9281,-26464
1191,-763,-25365
1192,11234,-24071
1193,21563,-20766
1194,22786,-11271
1195,24020,-3508
1196,27028,1231
1197,27627,8198
1198,28524,11439
1199,26156,10339
1200,17684,16356
1201,7853,26901
1202,-2866,29661
1203,-10932,25573
1204,-11229,21080
1205,-11454,18499
1206,-16166,19081
1207,-18785,19531
1208,-20397,16709
1209,-24651,14439
1210,-24772,15049
1211,-17555,18171
1212,-11437,22846
1213,-13396,22301
1214,-20313,14986
1215,-24129,10536
1216,-23085,12438
1217,-22048,17158
1218,-20536,22331
1219,-15292,23239
1220,-10581,20291
1221,-10098,20076
1222,-9438,22606
1223,-3305,25280
1224,7708,25582
1225,16444,20190
1226,18148,16446
1227,16057,21923
1228,12110,27375
1229,9029,24492
1230,13859,19622
1231,21472,18034
1232,21982,15152
1233,22152,9749
1234,26284,6672
1235,26026,2318
1236,24120,-6760
1237,24363,-14413
1238,17694,-21212
1239,9759,-25861
1240,13220,-21275
1241,17625,-18105
1242,16011,-21770
1243,16770,-20120
1244,15261,-19336
1245,7911,-25988
1246,3410,-27000
1247,224,-22967
1248,-4680,-22561
1249,-9919,-22215
1250,-18830,-19044
1251,-25210,-14380
1252,-23220,-12732
1253,-20137,-16596
1254,-15226,-20630
1255,-9227,-24122
1256,-10952,-26620
1257,-11827,-23974
1258,-4511,-23671
1259,95,-29064
1260,1075,-29296
1261,4961,-25509
1262,6242,-26531
1263,-1158,-27336
1264,-10033,-23531
1265,-8543,-23904
1266,-807,-28917
1267,2743,-27156
1268,7015,-23258
1269,11266,-26194
1270,5540,-26777
1271,-2476,-25191
1272,-6664,-27610
1273,-13110,-23383
1274,-16903,-16446
1275,-18202,-16215
1276,-24508,-6676
1277,-25974,10538
1278,-20594,15679
1279,-19979,15394
1280,-18823,14819
1281,-16313,8849
1282,-21059,11042
1283,-20285,23031
1284,-6909,26464
1285,3799,22892
1286,7316,21899
1287,9608,19943
1288,15445,13948
1289,24356,1411
1290,22739,-16051
1291,9410,-25474
1292,897,-24869
1293,-1993,-24679
1294,-6425,-24551
1295,-13874,-20517
1296,-24323,-10769
1297,-24932,6862
1298,-11629,21423
1299,-2912,24894
1300,3353,25093
1301,19091,17291
1302,25031,-3915
1303,8074,-21903
1304,-13366,-25885
1305,-23590,-17527
1306,-22278,-4288
1307,-19603,821
1308,-20896,6481
1309,-9086,21575
1310,16657,22293
1311,27442,5068
1312,23082,-6997
1313,18696,-16811
1314,2884,-25799
1315,-18757,-15740
1316,-22722,7985
1317,-12227,23293
1318,2744,23569
1319,16309,16534
1320,22710,10295
1321,26571,667
1322,19284,-14829
1323,-4495,-22053
1324,-19887,-13456
1325,-22711,3015
1326,-22246,18062
1327,-3249,21600
1328,23268,10038
1329,25778,-7996
1330,7815,-21683
1331,-14312,-22449
1332,-27360,-12461
1333,-23552,-1764
1334,-16574,11459
1335,-9165,25047
1336,8834,21996
1337,23582,4452
1338,23902,-10757
1339,15349,-21170
1340,-3192,-23229
1341,-22509,-9814
1342,-24395,10662
1343,-10046,25130
1344,8935,25924
1345,22349,14106
1346,25627,3571
1347,23873,-1699
1348,16031,-11315
1349,9,-20856
1350,-13555,-19659
1351,-21359,-9024
1352,-26447,5378
1353,-21106,17871
1354,-2951,24902
1355,17539,21782
1356,28853,2522
1357,24931,-19209
1358,11908,-24923
1359,124,-23770
1360,-8192,-24209
1361,-15124,-16979
1362,-22269,-4886
1363,-23935,5851
1364,-13855,19390
1365,183,27899
1366,12747,20931
1367,24112,5550
1368,24084,-11821
1369,11118,-26891
1370,-3630,-27920
1371,-16604,-18700
1372,-23710,-11911
1373,-23013,-1159
1374,-20895,13493
1375,-13164,19850
1376,4638,22387
1377,21179,19240
1378,26945,2793
1379,20441,-11848
1380,4148,-20097
1381,-12947,-23748
1382,-22598,-7162
1383,-22436,15761
1384,-13998,21479
1385,-3837,23485
1386,1599,26652
1387,6254,24361
1388,16974,20941
1389,26883,10258
1390,28111,-2395
1391,25800,-6585
1392,20975,-16250
1393,12171,-26421
1394,4230,-23845
1395,-6391,-23285
1396,-18676,-23396
1397,-20763,-15740
1398,-18135,-15064
1399,-19667,-19793
1400,-20499,-16942
1401,-22320,-10220
1402,-25941,-4519
1403,-25522,-767
1404,-23336,4435
1405,-21002,13162
1406,-17308,18143
1407,-12160,21279
1408,-2743,26640
1409,5559,27340
1410,6960,26174
1411,6357,27182
1412,4302,25332
1413,3853,23954
1414,9676,24153
1415,10705,21731
1416,5595,21861
1417,7175,23924
1418,11984,21570
1419,14137,19741
1420,16824,20211
1421,19541,16393
1422,24613,10899
1423,29370,10476
1424,22361,14479
1425,10917,21547
1426,10163,28140
1427,12776,27104
1428,9179,24266
1429,5913,28124
1430,7184,29865
1431,10492,27026
1432,14609,26185
1433,15759,21511
1434,14879,15755
1435,19456,15159
1436,24834,8192
1437,24303,1523
1438,24415,9213
1439,25453,13018
1440,24365,7073
1441,25739,8303
1442,24912,9768
1443,21281,1984
1444,25534,-4934
1445,29847,-5719
1446,26317,-4039
1447,25030,-6289
1448,23364,-12923
1449,19411,-15626
1450,24337,-13880
1451,28620,-8135
1452,23636,2956
1453,24348,6814
1454,28608,1595
1455,24741,2589
1456,21830,7232
1457,23453,6987
1458,23693,4998
1459,25103,668
1460,26387,-4353
1461,24898,-6477
1462,24455,-9917
1463,24639,-10777
1464,24886,-3540
1465,26400,3187
1466,26836,5569
1467,26669,7433
1468,25785,6772
1469,24056,3316
1470,26840,422
1471,29324,-1269
1472,24041,-2485
1473,21257,-5754
1474,24107,-12897
1475,20754,-20912
1476,16213,-23728
1477,20513,-18439
1478,23797,-12872
1479,21248,-14211
1480,22431,-15767
1481,24753,-14903
1482,20399,-17270
1483,15148,-19232
1484,13381,-19497
1485,11150,-23729
1486,6175,-27108
1487,-1252,-26499
1488,-5852,-27198
1489,-4352,-27547
1490,-3026,-27525
1491,-1142,-29122
1492,5573,-26527
1493,9302,-23336
1494,7949,-26445
1495,6969,-28120
1496,4436,-26742
1497,3762,-27921
1498,7756,-27964
1499,4961,-26810
1500,-4128,-26798
1501,-6346,-24507
1502,-4893,-22664
1503,-4544,-24510
1504,1404,-26814
1505,7911,-27601
1506,6527,-26468
