Sample_Index,col0,col1
1283,-23071,-57489
1284,-53764,-6285
1285,-40432,37729
1286,-14824,59205
1287,27147,46895
1288,43510,28450
1289,59865,18202
1290,56766,-19676
1291,19893,-44230
1292,-33338,-46255
1293,-51744,-12456
1294,-51718,26444
1295,-38387,49972
1296,27136,39713
1297,67040,3872
1298,37326,-39116
1299,-2608,-52402
1300,-56852,-44188
1301,-60918,-14484
1302,-43488,9064
1303,-35278,43859
1304,561,61238
1305,39454,31527
1306,57858,-9428
1307,49642,-37057
1308,13796,-55461
1309,-29197,-43151
1310,-62958,3952
1311,-40410,39773
1312,-2520,68412
1313,39445,43815
1314,57849,20254
1315,56798,2845
1316,50630,-16602
1317,16830,-33993
1318,-13883,-55469
1319,-45604,-30877
1320,-51722,-6297
1321,-62955,27482
1322,-28125,53057
1323,17947,56102
1324,55808,32535
1325,68063,-20702
1326,42443,-58561
1327,11718,-52391
1328,-7734,-57482
1329,-29223,-51312
1330,-42514,-21605
1331,-54775,-3171
1332,-49630,31630
1333,-11736,57203
1334,12834,59223
1335,43533,33607
1336,62959,-8372
1337,38365,-47260
1338,12759,-65659
1339,-28187,-57438
1340,-45572,-31822
1341,-57831,-18500
1342,-48591,14262
1343,-43449,42914
1344,-11699,46988
1345,33341,52083
1346,56866,28518
1347,59909,-14482
1348,29175,-35968
1349,-11779,-55396
1350,-42478,-40016
1351,-55762,10156
1352,-43452,51092
1353,-18866,46974
1354,-2480,60257
1355,8780,61252
1356,25152,48941
1357,51751,42777
1358,66055,4887
1359,62953,-12514
1360,52688,-19672
1361,42428,-56508
1362,14773,-57503
1363,1460,-52357
1364,-30269,-57448
1365,-50724,-44114
1366,-41487,-32833
1367,-44537,-41004
1368,-46562,-45077
1369,-47562,-29702
1370,-56750,-19452
1371,-60816,-2043
1372,-54645,4
1373,-53594,21498
1374,-42309,37864
1375,-36147,43987
1376,-17706,55225
1377,4820,65434
1378,16077,58238
1379,15046,64351
1380,12992,59203
1381,7869,57128
1382,14007,55054
1383,27306,54004
1384,18082,47837
1385,11933,53955
1386,23186,53929
1387,30340,44692
1388,34420,48765
1389,43615,41577
1390,47688,31322
1391,65065,24143
1392,64010,25155
1393,34298,43566
1394,24047,56851
1395,25059,66035
1396,28118,58839
1397,15823,57787
1398,13769,69018
1399,19904,66938
1400,30130,58718
1401,34210,58690
1402,37264,41262
1403,35199,33054
1404,54629,34062
1405,55626,2317
1406,57646,14598
1407,54548,25850
1408,61686,25838
1409,52445,13544
1410,63678,23773
1411,50342,15574
1412,51341,-5927
1413,67692,-13088
1414,63565,-11034
1415,59440,-11028
1416,56341,-20234
1417,48126,-36600
1418,48103,-33511
1419,63433,-27353
1420,61356,-6869
1421,52115,15652
1422,62325,10527
1423,63319,286
1424,52030,14615
1425,50982,15632
1426,56075,14601
1427,54001,8453
1428,61140,-6903
1429,59064,-10993
1430,55965,-19175
1431,56962,-26330
1432,56935,-17105
1433,57931,302
1434,63021,10537
1435,60944,16673
1436,59891,14618
1437,59862,15635
1438,52669,274
1439,71067,1297
1440,59774,-4844
1441,50534,-9959
1442,53580,-17118
1443,51507,-43720
1444,43294,-49839
1445,38156,-52885
1446,54514,-33412
1447,51417,-29301
1448,49345,-36451
1449,54439,-34386
1450,55436,-36416
1451,38010,-42539
1452,33898,-45588
1453,27741,-45565
1454,21587,-64989
1455,5201,-55745
1456,-9130,-67999
1457,-14243,-57730
1458,-6048,-66913
1459,-8092,-63809
1460,6241,-64801
1461,17497,-58628
1462,21583,-52458
1463,16455,-67784
1464,13377,-60586
1465,9277,-63626
1466,10296,-64618
1467,21550,-63562
1468,-3024,-60460
1469,-12234,-61453
1470,-13251,-52211
1471,-12221,-53209
1472,-4027,-61371
1473,11328,-60317
1474,18487,-65405
1475,12337,-58208
1476,5167,-63297
1477,-4047,-63266
1478,-20421,-56070
1479,-30646,-48878
1480,-40866,-35548
1481,-69504,-2778
1482,-55141,17694
1483,-46926,25874
1484,-38715,54520
1485,-17202,57564
1486,2253,62654
1487,13511,55459
1488,40116,43150
1489,58520,25730
1490,60539,-18293
1491,47204,-40801
1492,30805,-54086
1493,-12197,-57130
1494,-56201,-26397
1495,-51056,15580
1496,-38749,44231
